rainfall,temperature,soil_moisture,soil_pH,nitrogen,phosphorus,potassium,irrigation,crop_area,fertilizer,pesticide,sunlight,humidity,altitude,wind_speed,groundwater,crop_diversity,mechanization,yield_variance,avg_yield
878.92,15.72,68.08,4.73,145.19,45.98,17.52,50.18,339.43,205.99,48.33,6.48,71.45,986.99,9,86.21,0.62,88.1,3.04,3.29
943.87,25.53,57.78,7.26,127.16,128.22,91.25,80.02,126.62,183.27,16.69,5.66,58.4,2179.8,8.41,15.03,0.01,32.4,7.57,7.02
1894.62,12.48,62.58,7.33,55.4,43.43,133.92,76.97,63.67,143.93,21.41,10.31,49.54,946.06,38.1,79.86,0.76,98.62,3.58,7.17
275.11,13.18,40.85,7.8,132.63,134.42,39.6,13.25,377.55,251.53,17.38,7.84,25.84,1423.01,34.71,37.21,0.57,56.08,9.09,4.85
552.45,17.86,43.33,5.41,96.79,36.39,39.67,83.85,153.58,258.12,17.99,5.36,34.57,72.39,42.8,73.6,0.22,54.09,0.03,5.06
1934.38,18.68,15.63,7.19,120.77,33.32,142.29,74.39,312.28,277.61,6.17,5.22,52.11,2211.16,39.97,56.62,0.86,84.2,0.27,9.84
398.98,18.64,49.36,6.45,27.32,86.12,45.35,71.95,406.14,193.72,49.97,10.06,61.44,460.69,25.89,6.17,0.55,85.05,1.74,7.83
1568.65,28.97,47.81,5.36,101.18,70.57,47.8,83.37,75.82,296.52,40.83,11.13,68.51,2010.05,34.46,75,0.35,80.36,3.65,5.84
415.31,35.55,12.99,6.38,106.73,27.84,129.62,82.11,473.46,276.4,42.46,6.91,33.5,1054.36,44.01,86.23,0.74,3.11,5.05,3.41
420.57,32.54,72.34,5.09,117.25,76.16,79.23,85.09,261.79,159.08,43.36,6.88,33.93,766.9,3.58,62.94,0.21,29.24,0.55,4.64
805.03,12.73,59.73,8.43,65.6,42.94,59.53,87.82,365.62,183.02,25.56,7.79,30.58,2612.58,48.47,65.79,0.55,51.74,0.55,2.85
1745.87,26.89,47.83,6.29,80.65,49.31,136.03,59.45,460.35,36.33,11.88,6.4,67.28,822.42,11.11,24.12,0.55,91.04,0.12,4.55
1136.37,23.49,75.38,7.06,50.53,33.67,21.29,59.55,427.13,169.73,29.05,9.1,98.95,2033.08,14.24,18.02,0.63,0.53,3.34,2.68
1325,22.49,40.8,5.4,23.03,142.23,19.81,55.55,310.18,88,4.31,10.03,41.88,2815.26,30.03,68.72,0.18,55.6,10,9.44
580.9,14.08,30.34,4.45,148.95,47.21,46.63,95.86,342.48,43.2,3.4,10.06,69.63,2374.64,35.91,95.81,0.11,35.37,1.53,9.82
766.19,35.66,27.51,5.86,88.98,95.56,113.34,19.84,489.5,117.98,23.5,7.28,88.76,2214.34,11.02,57.95,0.17,16.53,9.92,4.87
1322.41,10.35,52.56,4,26.79,131.36,38.68,37.32,390.64,262.16,16.32,8.78,92.95,1552.27,14.33,20.74,0.38,56.57,4.99,6.86
1303.13,31.32,45.27,5.68,103.96,117.63,55.62,17.15,156.17,122.68,48.41,10.89,35.51,518.18,46.7,65.42,0.55,44.05,3.96,4.56
510.55,10.79,73.21,4.63,43.23,117.08,45.17,55.6,306.8,262.6,33.55,8.16,98.84,2250.91,35.87,37.45,0.9,36.75,2.8,5.29
1691.96,12.7,68.02,8.78,100.38,98.24,143.12,71.35,221.1,279.21,1.37,6.34,55.08,1525.98,35.99,30.32,0.2,79.39,6.21,9.15
1913.57,30.41,40.35,5.88,71.75,101.33,96.15,42.31,458.99,160.34,18.76,9.8,26.63,1498.25,18.61,18.86,0.76,90.38,1.73,9.12
745.48,23.63,19.44,6.58,125.94,142.06,28.95,18.61,440.7,223.88,5.55,9.78,44.87,572.48,45.06,24.51,0.18,8.29,8.08,7.44
423.73,35.86,13.78,8.71,88.51,10.82,147.7,13.02,154.16,190.42,13.23,6.79,95.2,1466.11,16.83,17.66,0.91,25.99,7.61,9.82
433.36,18.13,75.69,8.17,108.33,117.26,21.26,94.97,488.15,192.83,42.69,8.92,63.71,2335.65,31.65,56.05,0.99,39.15,6.78,8.03
1623.87,27.81,71.15,7.13,122.79,87.22,124.03,84.28,373.45,207.9,49.4,8.38,43.39,350.96,16.45,42.51,0.16,63.05,8.58,3.68
708,34.7,35.54,7.45,78.24,97.47,46.23,61.69,106.63,72.15,39.07,5.33,62.37,2160.32,6.9,19.39,0.87,1.65,1.22,5.15
1033.07,31.39,48.52,6.75,15.1,22.78,105.98,47.25,420.29,102.11,34.7,11.86,56.8,1347.11,12.02,3.98,0.56,39.55,4.11,6.25
230.74,15.89,65.51,7.84,89.09,110.97,34.08,49.66,44.67,250.06,26.61,10.84,56.99,1432.97,29.28,71.22,0.17,11.55,9.58,7.05
1055.98,15.34,66.67,6,21.26,63.35,73.72,13.29,227.06,115.4,28.86,9.96,81.44,635.84,8.68,38.87,0.93,38.43,6.41,8.18
1304.51,34.71,26.79,6.45,85.84,107.26,127.76,70.77,295.14,207.73,28.68,10.27,30.81,1905.82,12.52,57.77,0.64,87.92,5.63,5.21
1016.2,37.75,52.72,5.62,45.99,65.83,106.52,94.86,103.5,192.69,17.74,9.44,30.07,1783.5,47.15,50.41,0.16,16.85,7.99,4.6
1202.15,36.08,67.62,8.86,147.36,47.42,62.57,56.85,451.31,11.12,39.96,10.13,86.2,571.32,33.05,62.71,0.05,28.6,1.49,1.6
1734.02,19.1,44.81,7.09,129.73,120.36,122.16,17.09,186.04,292.75,11.16,10.71,26.63,182.97,18.38,48.36,0.48,24.52,1.57,1.31
1990.72,35.48,34.26,8.41,141.7,71.58,58.76,72.93,466.28,12.65,35.47,8.25,89.32,670.49,26,59.91,0.86,79.61,7.68,5.17
1378.18,14.74,65.86,5.07,112.94,26.8,54.65,19.65,18.77,132.49,13.23,8.1,84.29,2655.76,35.6,5.57,0.48,53.47,8.89,9.78
1692.61,34.99,18.91,8.31,89.26,36.34,74.31,51.82,442.78,95.04,32.39,6.66,79.01,2369.46,43.67,29.09,0.18,59.35,4.23,9.6
1062.87,37.7,37.53,4.18,111.21,100.32,149.56,46.12,461.09,191.96,3.07,9.98,78.29,1072.82,5.76,31.59,0.33,22.99,6.35,3.45
1288.93,25.57,31.7,5.06,32.56,98.29,83.02,23.53,2.25,88.09,24.43,10.71,91.43,2743.94,46.18,20.14,0.09,19.37,9.56,6.76
1942.45,21.99,55.49,8.29,129.8,36.39,130.11,85.82,20.16,190.56,42.9,11.46,66.11,145.6,14.8,2.66,0.77,89.77,8.19,5.1
1044.82,38.29,64.1,7.08,145.02,19.28,38.1,59.84,409.64,49.59,27.52,7.34,26.09,2060.93,6.17,31.31,0.23,75.78,9.79,6.35
378.13,12.66,28.91,4.51,52.29,104.02,51.63,33.75,32.54,63.91,32.02,6.5,37.6,2774.96,8.98,71.85,0.52,80.78,0.17,9.48
1773.22,21.54,40.79,4.65,73.01,109.87,46.3,86.07,54.8,159.43,17.34,6.73,67.45,718.59,14.68,17.53,0.21,48.86,5.98,7.75
905.06,29.53,48.65,7.97,119.52,87.25,96.73,30.57,324.69,172.93,33.43,7.92,34.08,1486.81,35.88,43.71,0.22,26.96,1.31,1.12
956.12,34.98,14.96,8.34,19.75,11.85,106.3,73.23,143.5,58.48,49.69,11.42,51.94,1656.22,16.97,87.97,0.68,38.57,1.47,1.87
1367.54,34.14,18.28,5.23,74.68,54.96,109.49,88.59,276.25,228.23,49.91,10.32,81.01,744.82,23.52,21.42,0.65,83.73,8.19,6.06
1094.31,18.12,34.48,5.46,33.23,50.58,85.24,86.68,135.08,47.49,40.37,9.66,26.27,2235.28,46.39,70.61,0.76,84.7,5.29,9.77
1076.51,26,49.72,6.57,73.03,28.86,127.01,69.03,171.37,118.7,9.55,9.97,37.72,584.67,37.62,38.29,0.94,40.89,5.14,1.17
888.06,20.67,71.29,5.11,40.11,145.52,127.97,62.7,259.88,170.4,24.54,5.85,72.03,2623.21,31.5,97.58,0.52,30.98,2.45,4.71
956.08,17.79,47.85,7.7,93.12,144.86,57.78,60.6,396.51,142.99,25.08,6.44,24.41,1886.38,43.27,76.79,0.69,15.31,4.04,6.4
1438.46,20.99,72.53,4.31,17.39,21.03,107.88,11.51,15.97,55.15,8.94,10.71,48.53,917.94,3.51,64.56,0.13,75.65,1.24,8.69
707.47,29.02,40.35,4.23,104.16,117.99,35.34,50.62,334.14,266.77,30.36,11.3,65.51,1864.38,10.9,57.88,0.94,53.18,5.65,1.32
